sol,min_temp
10,-75.0
11,-76.0
12,-76.0
13,-74.0
14,-74.0
15,-78.0
16,-77.0
17,-76.0
21,-74.0
22,-74.0
23,-75.0
24,-75.0
25,-75.0
26,-76.0
27,-75.0
28,-75.0
29,-75.0
30,-74.0
31,-74.0
33,-73.0
34,-73.0
35,-73.0
36,-73.0
37,-73.0
38,-73.0
39,-75.0
40,-75.0
41,-75.0
42,-75.0
43,-74.0
44,-75.0
45,-74.0
46,-74.0
47,-75.0
48,-75.0
49,-74.0
50,-72.0
51,-76.0
52,-74.0
53,-71.0
54,-72.0
55,-74.0
56,-73.0
57,-73.0
58,-74.0
59,-76.0
60,-75.0
61,-72.0
62,-72.0
63,-73.0
64,-74.0
65,-72.0
66,-73.0
67,-73.0
68,-71.0
69,-73.0
70,-72.0
71,-71.0
72,-73.0
73,-70.0
74,-72.0
75,-73.0
76,-73.0
77,-71.0
78,-71.0
79,-73.0
80,-70.0
81,-72.0
82,-72.0
83,-72.0
84,-70.0
85,-71.0
86,-71.0
87,-70.0
88,-70.0
89,-73.0
90,-71.0
91,-74.0
92,-74.0
93,-72.0
94,-70.0
95,-68.0
96,-71.0
97,-68.0
98,-68.0
99,-68.0
100,-66.0
101,-65.0
102,-67.0
103,-66.0
104,-67.0
105,-66.0
106,-66.0
107,-66.0
108,-65.0
109,-64.0
110,-65.0
111,-66.0
112,-65.0
113,-66.0
114,-69.0
115,-66.0
116,-67.0
117,-66.0
118,-65.0
119,-66.0
120,-67.0
121,-66.0
122,-65.0
123,-66.0
124,-66.0
125,-68.0
126,-66.0
127,-67.0
128,-67.0
129,-65.0
130,-65.0
131,-65.0
132,-65.0
133,-65.0
134,-67.0
135,-65.0
136,-65.0
137,-64.0
138,-65.0
139,-66.0
140,-66.0
141,-64.0
142,-65.0
143,-63.0
144,-64.0
145,-64.0
146,-65.0
147,-65.0
148,-65.0
149,-65.0
150,-64.0
151,-65.0
152,-63.0
153,-65.0
154,-65.0
155,-64.0
156,-65.0
157,-64.0
158,-66.0
159,-65.0
160,-67.0
161,-65.0
162,-65.0
163,-65.0
164,-64.0
165,-65.0
166,-65.0
167,-65.0
168,-66.0
169,-66.0
170,-66.0
171,-67.0
172,-67.0
173,-67.0
174,-67.0
175,-68.0
176,-67.0
177,-66.0
178,-66.0
179,-66.0
180,-67.0
181,-67.0
182,-67.0
183,-67.0
184,-67.0
185,-67.0
186,-66.0
187,-67.0
188,-68.0
189,-68.0
190,-66.0
191,-67.0
196,-66.0
197,-68.0
198,-67.0
199,-66.0
223,-71.0
224,-69.0
225,-71.0
226,-70.0
227,-70.0
228,-71.0
229,-69.0
230,-69.0
231,-71.0
232,-69.0
233,-69.0
234,-69.0
235,-70.0
236,-72.0
237,-71.0
238,-70.0
239,-73.0
240,-70.0
241,-72.0
242,-70.0
243,-71.0
244,-69.0
245,-70.0
246,-73.0
247,-71.0
248,-70.0
249,-69.0
250,-70.0
251,-71.0
252,-71.0
253,-71.0
254,-70.0
255,-69.0
256,-70.0
257,-70.0
258,-71.0
259,-72.0
260,-70.0
261,-70.0
268,-70.0
269,-72.0
270,-67.0
271,-69.0
272,-71.0
273,-70.0
274,-70.0
275,-67.0
276,-69.0
277,-69.0
278,-67.0
279,-68.0
280,-69.0
281,-68.0
282,-72.0
283,-68.0
284,-71.0
285,-70.0
286,-71.0
287,-72.0
288,-69.0
289,-71.0
290,-71.0
291,-70.0
292,-71.0
293,-72.0
294,-72.0
295,-71.0
296,-71.0
297,-72.0
298,-72.0
299,-71.0
300,-72.0
301,-73.0
302,-71.0
303,-71.0
304,-70.0
305,-71.0
306,-71.0
307,-72.0
308,-73.0
309,-72.0
310,-71.0
311,-74.0
312,-71.0
313,-77.0
314,-73.0
315,-74.0
316,-74.0
317,-72.0
318,-74.0
319,-73.0
320,-74.0
321,-75.0
322,-74.0
323,-74.0
324,-75.0
325,-74.0
326,-72.0
327,-74.0
328,-75.0
329,-74.0
330,-75.0
331,-74.0
332,-76.0
333,-75.0
334,-74.0
335,-76.0
336,-76.0
337,-75.0
338,-78.0
339,-76.0
340,-76.0
341,-77.0
342,-76.0
343,-77.0
344,-77.0
345,-77.0
346,-76.0
347,-77.0
348,-74.0
349,-75.0
350,-76.0
351,-75.0
352,-77.0
353,-75.0
354,-75.0
355,-75.0
356,-77.0
357,-76.0
366,-76.0
367,-76.0
368,-77.0
369,-75.0
370,-79.0
371,-77.0
372,-76.0
373,-79.0
374,-79.0
375,-77.0
376,-78.0
377,-78.0
378,-78.0
379,-79.0
380,-79.0
381,-79.0
382,-76.0
383,-77.0
384,-77.0
385,-78.0
386,-77.0
387,-78.0
388,-79.0
389,-79.0
390,-78.0
391,-78.0
392,-77.0
393,-76.0
394,-79.0
395,-77.0
396,-78.0
397,-75.0
398,-79.0
399,-79.0
400,-79.0
401,-79.0
402,-78.0
403,-80.0
404,-78.0
405,-82.0
406,-81.0
407,-81.0
408,-80.0
409,-81.0
410,-81.0
411,-82.0
412,-80.0
413,-82.0
414,-79.0
415,-82.0
416,-79.0
417,-82.0
418,-79.0
419,-82.0
420,-80.0
421,-81.0
422,-82.0
423,-81.0
424,-81.0
425,-81.0
426,-79.0
427,-81.0
428,-81.0
429,-82.0
430,-82.0
431,-83.0
432,-80.0
433,-81.0
434,-80.0
435,-81.0
436,-81.0
437,-82.0
438,-79.0
439,-80.0
440,-80.0
441,-81.0
442,-80.0
443,-81.0
455,-84.0
456,-83.0
463,-86.0
464,-84.0
465,-85.0
466,-85.0
467,-84.0
468,-85.0
469,-85.0
470,-85.0
471,-84.0
472,-84.0
473,-86.0
474,-84.0
475,-85.0
476,-85.0
477,-85.0
486,-84.0
487,-85.0
488,-87.0
489,-85.0
490,-87.0
491,-86.0
492,-86.0
493,-84.0
494,-85.0
495,-86.0
496,-85.0
497,-86.0
498,-86.0
499,-84.0
500,-85.0
501,-86.0
502,-87.0
503,-86.0
504,-85.0
505,-85.0
506,-86.0
507,-85.0
508,-83.0
509,-86.0
510,-85.0
511,-85.0
512,-86.0
513,-86.0
514,-86.0
515,-86.0
516,-86.0
517,-86.0
518,-85.0
519,-86.0
520,-86.0
521,-87.0
522,-85.0
523,-85.0
524,-85.0
525,-87.0
526,-87.0
527,-86.0
528,-86.0
529,-87.0
530,-87.0
531,-87.0
532,-88.0
533,-87.0
534,-86.0
535,-88.0
536,-83.0
537,-83.0
538,-85.0
539,-85.0
540,-84.0
541,-84.0
542,-85.0
543,-84.0
544,-86.0
545,-85.0
546,-85.0
